Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
8-Jan-26,UMME,Umeme Ltd,5.8,24.75,8.18,8.36,8.26,8.18,0.08,0.98%,356347,-
8-Jan-26,BRIT,Britam Holdings Plc,5.92,13.4,9.02,9.5,9.2,9.2,-,-,354237,-
8-Jan-26,CIC,CIC Insurance Group Ltd,2.55,6.62,4.3,4.6,4.59,4.51,0.08,1.77%,243013,-
8-Jan-26,JUB,Jubilee Holdings Ltd,182,437.75,344,360,345.75,335,10.75,3.21%,620,-
8-Jan-26,KNRE,Kenya Re-Insurance Corporation Ltd,1.5,4.02,3.15,3.29,3.18,3.17,0.01,0.32%,4054955,-
8-Jan-26,LBTY,Liberty Kenya Holdings Ltd,9.1,12.2,10.1,10.25,10.15,10.2,-0.05,-0.49%,8402,-
8-Jan-26,SLAM,Sanlam Allianz Holdings (Kenya) Plc,5.5,11,8.22,8.5,8.48,8.38,0.1,1.19%,123764,-
8-Jan-26,CTUM,Centum Investment Company Plc,10.85,16.75,12.9,13.5,12.95,13.1,-0.15,-1.15%,153804,-
8-Jan-26,HAFR,Home Afrika Ltd,0.48,1.93,1.25,1.38,1.33,1.38,-0.05,-3.62%,436732,-
8-Jan-26,KURV,Kurwitu Ventures Ltd,1400,1500,1500,1500,1500,1500,-,-,-,-
8-Jan-26,OCH,Olympia Capital Holdings Ltd,3.12,9,8.3,8.5,8.48,8.5,-0.02,-0.24%,58717,-
8-Jan-26,TCL,Trans-Century Plc,0.71,1.42,0.71,0.71,0.71,0.71,-,-,-,-
8-Jan-26,NSE,Nairobi Securities Exchange Plc,6.5,25.9,19.9,20.5,20.05,20,0.05,0.25%,59839,-
8-Jan-26,AMAC,Africa Mega Agricorp Plc,51,118.25,70.5,70.5,70.5,70.5,-,-,38,-
8-Jan-26,BOC,BOC Kenya Plc,76,150,130,133,133,132,1,0.76%,123,-
8-Jan-26,BAT,British American Tobacco Kenya Plc,345,629,465,469,467.25,461.5,5.75,1.25%,2693,-
8-Jan-26,CARB,Carbacid Investments Plc,18,33,29,29.55,29.2,29.55,-0.35,-1.18%,133158,-
8-Jan-26,EABL,East African Breweries Ltd,167,351,264,265,264.5,265,-0.5,-0.19%,3916,-
