Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
23-Feb-26,^ZKEQTK,Zamara Kenya Equity Index (KES),2424.57,4790.09,4569.84,4569.84,4569.84,4545.67,24.17,0.53%,-,-
23-Feb-26,^ZKEQTU,Zamara Kenya Equity Index (USD),1610.77,3197.11,3050.1,3050.1,3050.1,3033.97,16.13,0.53%,-,-
24-Feb-26,EGAD,Eaagads Ltd,11,35.25,30,31.95,31.7,32.55,-0.85,-2.61%,6825,-
24-Feb-26,KUKZ,Kakuzi Plc,365,440,405,436.75,421.25,421.25,-,-,91,-
24-Feb-26,KAPC,Kapchorua Tea Kenya Plc,198,424.25,248,249,248.25,249,-0.75,-0.30%,2187,-
24-Feb-26,LIMT,Limuru Tea Plc,295,555,550,550,550,517,33,6.38%,122,-
24-Feb-26,SASN,Sasini Plc,13.3,33.9,27.55,29,27.95,28.65,-0.7,-2.44%,67867,-
24-Feb-26,WTK,Williamson Tea Kenya Plc,136,350,142,145,142.75,143.5,-0.75,-0.52%,7771,-
24-Feb-26,CGEN,Car and General (K) Ltd,19.8,74.25,70,73,72.25,72.75,-0.5,-0.69%,12250,-
24-Feb-26,ABSA,ABSA Bank Kenya Plc,15,33,28.45,29.95,29.1,28.3,0.8,2.83%,564452,-
24-Feb-26,BKG,BK Group Plc,28.75,50,44,46.5,46,46,-,-,301475,-
24-Feb-26,COOP,Co-operative Bank of Kenya Ltd,13.8,31.5,28.85,29.75,29,29.2,-0.2,-0.68%,556511,-
24-Feb-26,DTK,Diamond Trust Bank Kenya Ltd,66,170,152,156,154,153.25,0.75,0.49%,50952,-
24-Feb-26,EQTY,Equity Group Holdings Plc,41.2,80,74,76.5,74.5,73.75,0.75,1.02%,5820316,-
24-Feb-26,HFCK,HF Group Ltd,5.3,11.5,10.25,11,10.3,10.85,-0.55,-5.07%,2095147,-
24-Feb-26,IMH,I & M Holdings Plc,29.5,52,48.5,49.4,48.95,48.1,0.85,1.77%,1181609,-
24-Feb-26,KCB,KCB Group Plc,35,80.5,74.5,75.5,75,75,-,-,3274656,-
24-Feb-26,NCBA,NCBA Group Plc,48,100,89,91.25,90,88.25,1.75,1.98%,172836,-
24-Feb-26,SBIC,Stanbic Holdings Plc,147,270,245,255,254,253.75,0.25,0.10%,34003,-
24-Feb-26,SCBK,Standard Chartered Bank Kenya Ltd,260,365,339.5,344,340.5,337.25,3.25,0.96%,50464,-
24-Feb-26,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
24-Feb-26,EVRD,Eveready East Africa Ltd,0.75,1.78,1.29,1.44,1.3,1.31,-0.01,-0.76%,3991652,-
24-Feb-26,XPRS,Express Kenya Plc,2.8,10,7.5,8.24,7.96,7.94,0.02,0.25%,6781,-
24-Feb-26,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
24-Feb-26,KQ,Kenya Airways Plc,1.56,6.02,5.5,6,5.56,5.52,0.04,0.72%,32071165,-
24-Feb-26,LKL,Longhorn Publishers Plc,2.35,3.5,3.26,3.35,3.29,3.3,-0.01,-0.30%,6386,-
24-Feb-26,NBV,Nairobi Business Ventures Ltd,1.33,2.16,1.5,1.65,1.55,1.55,-,-,272324,-
24-Feb-26,NMG,Nation Media Group Plc,10.05,20,14.25,15,14.55,14.5,0.05,0.34%,8133,-
24-Feb-26,SMER,Sameer Africa Plc,2.7,21.5,19.65,20.7,20.45,20.25,0.2,0.99%,51712,-
24-Feb-26,SGL,Standard Group Plc,5.2,7.14,5.8,6.4,6.14,6.42,-0.28,-4.36%,3129,-
24-Feb-26,TPSE,TPS Eastern Africa (Serena) Ltd,13.05,18.2,17,17.3,17.1,17.2,-0.1,-0.58%,1628,-
24-Feb-26,UCHM,Uchumi Supermarket Plc,0.23,2.93,2.03,2.21,2.21,2.01,0.2,9.95%,1285338,-
24-Feb-26,SCAN,WPP ScanGroup Plc,2,3.4,2.36,2.45,2.42,2.43,-0.01,-0.41%,91287,-
24-Feb-26,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
24-Feb-26,BAMB,Bamburi Cement Ltd,47.2,56.5,47.2,47.2,47.2,47.2,-,-,-,-
24-Feb-26,CRWN,Crown Paints Kenya Plc,30,70.75,62,65,62.25,65.5,-3.25,-4.96%,2034,-
24-Feb-26,CABL,East African Cables Plc,1,2.44,1,1,1,1,-,-,-,-
24-Feb-26,PORT,East African Portland Cement Ltd,28,101,80,87,80.5,84.25,-3.75,-4.45%,1230,-
24-Feb-26,KEGN,Kenya Electricity Generating Company Plc,4.5,10.75,9.54,9.6,9.58,9.56,0.02,0.21%,1039975,-
24-Feb-26,KPLC-P4,KPLC-P4,4,5,5,5,5,5,-,-,-,-
24-Feb-26,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
24-Feb-26,KPLC,Kenya Power and Lighting Company Plc,5.7,19,17.05,17.7,17.4,17.15,0.25,1.46%,1254911,-
24-Feb-26,TOTL,TotalEnergies Marketing Kenya Plc,21,47,42,43,42.2,42.45,-0.25,-0.59%,31379,-
24-Feb-26,UMME,Umeme Ltd,5.8,24.75,8.8,9.2,8.9,9.1,-0.2,-2.20%,2003600,-
24-Feb-26,BRIT,Britam Holdings Plc,5.92,13.4,10.8,11.9,11.1,11.75,-0.65,-5.53%,230893,-
24-Feb-26,CIC,CIC Insurance Group Ltd,2.55,6.62,4.59,5.54,5.04,6.14,-1.1,-17.92%,1680235,-
24-Feb-26,JUB,Jubilee Holdings Ltd,182,437.75,365,367,366.75,363.5,3.25,0.89%,771,-
24-Feb-26,KNRE,Kenya Re-Insurance Corporation Ltd,1.5,4.02,3.75,3.9,3.8,3.76,0.04,1.06%,3342170,-
24-Feb-26,LBTY,Liberty Kenya Holdings Ltd,9.1,12.2,9.96,10.6,10,10.15,-0.15,-1.48%,593329,-
24-Feb-26,SLAM,Sanlam Allianz Holdings (Kenya) Plc,5.5,11,10,10.5,10.3,10.05,0.25,2.49%,33431,-
24-Feb-26,CTUM,Centum Investment Company Plc,10.85,16.75,14.35,15,14.8,15,-0.2,-1.33%,30757,-
24-Feb-26,HAFR,Home Afrika Ltd,0.48,1.93,1.36,1.5,1.46,1.39,0.07,5.04%,509075,-
24-Feb-26,KURV,Kurwitu Ventures Ltd,1400,1500,1500,1500,1500,1500,-,-,-,-
24-Feb-26,OCH,Olympia Capital Holdings Ltd,3.12,9,8,8.4,8.18,8.18,-,-,847,-
24-Feb-26,TCL,Trans-Century Plc,0.71,1.42,0.71,0.71,0.71,0.71,-,-,-,-
24-Feb-26,NSE,Nairobi Securities Exchange Plc,6.5,25.9,21.9,22.9,22.05,22.4,-0.35,-1.56%,235678,-
24-Feb-26,AMAC,Africa Mega Agricorp Plc,51,118.25,90,100,98.25,94.5,3.75,3.97%,404,-
24-Feb-26,BOC,BOC Kenya Plc,76,150,130,138.25,136,130.75,5.25,4.02%,30299,-
24-Feb-26,BAT,British American Tobacco Kenya Plc,345,629,520,535,525,521,4,0.77%,8038,-
24-Feb-26,CARB,Carbacid Investments Plc,18,33,31.85,32,31.9,31.25,0.65,2.08%,16057,-
24-Feb-26,EABL,East African Breweries Ltd,167,351,249,255,250.75,249.25,1.5,0.60%,119475,-
24-Feb-26,FTGH,Flame Tree Group Holdings Ltd,1.05,3.11,2.21,2.3,2.28,2.2,0.08,3.64%,281653,-
24-Feb-26,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
24-Feb-26,SKL,Shri Krishana Overseas Plc,5.8,12,10.45,10.5,10.5,10.7,-0.2,-1.87%,6409,-
24-Feb-26,UNGA,Unga Group Ltd,18.05,34,24.3,25.7,24.95,25.55,-0.6,-2.35%,3502,-
24-Feb-26,SCOM,Safaricom Plc,17,34.2,32.3,33.45,32.9,32.25,0.65,2.02%,11818533,-
24-Feb-26,LAPR,LAPTrust Imara Income-REIT,20,20,20,20,20,20,-,-,25000000,-
24-Feb-26,GLD,ABSA NewGold ETF,881,9800,6000,6200,6175,6175,-,-,41,-
24-Feb-26,SMWF,Satrix MSCI World Feeder ETF,755,1050,850,879,850,850,-,-,30,-
24-Feb-26,^N10I,NSE 10-Share Index,1250.85,2271.75,2201.92,2201.92,2201.92,2179.88,22.04,1.01%,-,-
24-Feb-26,^N20I,NSE 20-Share Index,2092.84,3758.73,3597.23,3597.23,3597.23,3628.9,-31.67,-0.87%,-,-
24-Feb-26,^N25I,NSE 25-Share Index,3314.15,5948.29,5769.95,5769.95,5769.95,5718.8,51.15,0.89%,-,-
24-Feb-26,^NASI,NSE All-Share Index,123.6,216.69,213.02,213.02,213.02,210.87,2.15,1.02%,-,-
24-Feb-26,^NBSI,NSE Banking Sector Index,149.92,245.9,235.06,235.06,235.06,233.24,1.82,0.78%,-,-
24-Feb-26,^NBDI,NSE Bonds Index,1140.96,1210.41,1195.3,1195.3,1195.3,1189.74,5.56,0.47%,-,-
24-Feb-26,^ZKEQTK,Zamara Kenya Equity Index (KES),2424.57,4790.09,4610.37,4610.37,4610.37,4569.84,40.53,0.89%,-,-
24-Feb-26,^ZKEQTU,Zamara Kenya Equity Index (USD),1610.77,3197.11,3077.15,3077.15,3077.15,3050.1,27.05,0.89%,-,-
25-Feb-26,EGAD,Eaagads Ltd,11,35.25,30.5,32,31.05,31.7,-0.65,-2.05%,8977,-
25-Feb-26,KUKZ,Kakuzi Plc,365,440,407,436.75,436.5,421.25,15.25,3.62%,1352,-
25-Feb-26,KAPC,Kapchorua Tea Kenya Plc,198,424.25,247.5,249,248.25,248.25,-,-,1966,-
25-Feb-26,LIMT,Limuru Tea Plc,295,555,517,550,550,550,-,-,32,-
25-Feb-26,SASN,Sasini Plc,13.3,33.9,27.5,29,28.35,27.95,0.4,1.43%,20348,-
25-Feb-26,WTK,Williamson Tea Kenya Plc,136,350,141,145,143.75,142.75,1,0.70%,19567,-
25-Feb-26,CGEN,Car and General (K) Ltd,19.8,74.25,69.5,72.75,71,72.25,-1.25,-1.73%,1536,-
25-Feb-26,ABSA,ABSA Bank Kenya Plc,15,33,29.35,29.9,29.5,29.1,0.4,1.37%,2435843,-
25-Feb-26,BKG,BK Group Plc,28.75,50,45.1,47.5,47.05,46,1.05,2.28%,1987,-
25-Feb-26,COOP,Co-operative Bank of Kenya Ltd,13.8,31.5,28.9,30,29,29,-,-,3894497,-
25-Feb-26,DTK,Diamond Trust Bank Kenya Ltd,66,170,156,159,158.25,154,4.25,2.76%,55749,-
25-Feb-26,EQTY,Equity Group Holdings Plc,41.2,80,75.5,77.75,76.5,74.5,2,2.68%,6246389,-
25-Feb-26,HFCK,HF Group Ltd,5.3,11.5,10.3,11.2,11.05,10.3,0.75,7.28%,118657,-
25-Feb-26,IMH,I & M Holdings Plc,29.5,52,48.95,49.5,49.1,48.95,0.15,0.31%,479737,-
25-Feb-26,KCB,KCB Group Plc,35,80.5,75.25,76.5,75.5,75,0.5,0.67%,1286868,-
25-Feb-26,NCBA,NCBA Group Plc,48,100,89.75,93,90.25,90,0.25,0.28%,145610,-
25-Feb-26,SBIC,Stanbic Holdings Plc,147,270,253.75,257.5,255.25,254,1.25,0.49%,17070,-
25-Feb-26,SCBK,Standard Chartered Bank Kenya Ltd,260,365,340,348,345.25,340.5,4.75,1.40%,26561,-
25-Feb-26,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
25-Feb-26,EVRD,Eveready East Africa Ltd,0.75,1.78,1.19,1.3,1.22,1.3,-0.08,-6.15%,8287436,-
25-Feb-26,XPRS,Express Kenya Plc,2.8,10,7.5,7.94,7.68,7.96,-0.28,-3.52%,5893,-
25-Feb-26,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
25-Feb-26,KQ,Kenya Airways Plc,1.56,6.02,5.58,5.9,5.72,5.56,0.16,2.88%,403663,-
25-Feb-26,LKL,Longhorn Publishers Plc,2.35,3.5,3.2,3.4,3.33,3.29,0.04,1.22%,57139,-
25-Feb-26,NBV,Nairobi Business Ventures Ltd,1.33,2.16,1.4,1.55,1.49,1.55,-0.06,-3.87%,368357,-
25-Feb-26,NMG,Nation Media Group Plc,10.05,20,14,14.5,14.4,14.55,-0.15,-1.03%,21059,-
25-Feb-26,SMER,Sameer Africa Plc,2.7,21.5,19.5,20,19.85,20.45,-0.6,-2.93%,11106,-
25-Feb-26,SGL,Standard Group Plc,5.2,7.14,5.9,6.4,6.38,6.14,0.24,3.91%,4849,-
25-Feb-26,TPSE,TPS Eastern Africa (Serena) Ltd,13.05,18.2,16.5,17.3,17.2,17.1,0.1,0.58%,1028,-
25-Feb-26,UCHM,Uchumi Supermarket Plc,0.23,2.93,2.26,2.43,2.43,2.21,0.22,9.95%,1098419,-
25-Feb-26,SCAN,WPP ScanGroup Plc,2,3.4,2.41,2.5,2.46,2.42,0.04,1.65%,69000,-
25-Feb-26,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
25-Feb-26,BAMB,Bamburi Cement Ltd,47.2,56.5,47.2,47.2,47.2,47.2,-,-,-,-
25-Feb-26,CRWN,Crown Paints Kenya Plc,30,70.75,61.75,65,64,62.25,1.75,2.81%,7472,-
25-Feb-26,CABL,East African Cables Plc,1,2.44,1,1,1,1,-,-,-,-
25-Feb-26,PORT,East African Portland Cement Ltd,28,101,80,85,84.75,80.5,4.25,5.28%,16898,-
25-Feb-26,KEGN,Kenya Electricity Generating Company Plc,4.5,10.75,9.5,9.6,9.56,9.58,-0.02,-0.21%,2466054,-
25-Feb-26,KPLC-P4,KPLC-P4,4,5,5,5,5,5,-,-,-,-
25-Feb-26,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
25-Feb-26,KPLC,Kenya Power and Lighting Company Plc,5.7,19,17.5,18,17.7,17.4,0.3,1.72%,1178593,-
25-Feb-26,TOTL,TotalEnergies Marketing Kenya Plc,21,47,41.8,43,42.05,42.2,-0.15,-0.36%,49110,-
25-Feb-26,UMME,Umeme Ltd,5.8,24.75,8.9,9.2,9.06,8.9,0.16,1.80%,49170,-
25-Feb-26,BRIT,Britam Holdings Plc,5.92,13.4,11.2,12,11.7,11.1,0.6,5.41%,147223,-
25-Feb-26,CIC,CIC Insurance Group Ltd,2.55,6.62,5.04,5.52,5.26,5.04,0.22,4.37%,672965,-
25-Feb-26,JUB,Jubilee Holdings Ltd,182,437.75,363,374.75,366.75,366.75,-,-,743,-
25-Feb-26,KNRE,Kenya Re-Insurance Corporation Ltd,1.5,4.02,3.88,3.99,3.91,3.8,0.11,2.89%,2670777,-
25-Feb-26,LBTY,Liberty Kenya Holdings Ltd,9.1,12.2,9.9,10.45,10,10,-,-,15563,-
25-Feb-26,SLAM,Sanlam Allianz Holdings (Kenya) Plc,5.5,11,10,10.5,10.15,10.3,-0.15,-1.46%,17547,-
25-Feb-26,CTUM,Centum Investment Company Plc,10.85,16.75,14.35,15,14.85,14.8,0.05,0.34%,168197,-
25-Feb-26,HAFR,Home Afrika Ltd,0.48,1.93,1.46,1.52,1.5,1.46,0.04,2.74%,917887,-
25-Feb-26,KURV,Kurwitu Ventures Ltd,1400,1500,1500,1500,1500,1500,-,-,6,-
25-Feb-26,OCH,Olympia Capital Holdings Ltd,3.12,9,7.38,8.4,8.04,8.18,-0.14,-1.71%,12305,-
25-Feb-26,TCL,Trans-Century Plc,0.71,1.42,0.71,0.71,0.71,0.71,-,-,-,-
25-Feb-26,NSE,Nairobi Securities Exchange Plc,6.5,25.9,21.5,22.9,21.9,22.05,-0.15,-0.68%,296731,-
25-Feb-26,AMAC,Africa Mega Agricorp Plc,51,118.25,90,100,94.25,98.25,-4,-4.07%,801,-
25-Feb-26,BOC,BOC Kenya Plc,76,150,130,134,134,136,-2,-1.47%,10744,-
25-Feb-26,BAT,British American Tobacco Kenya Plc,345,629,520,538,526,525,1,0.19%,21720,-
25-Feb-26,CARB,Carbacid Investments Plc,18,33,31.7,31.95,31.8,31.9,-0.1,-0.31%,15449,-
25-Feb-26,EABL,East African Breweries Ltd,167,351,250,255,250.5,250.75,-0.25,-0.10%,94009,-
25-Feb-26,FTGH,Flame Tree Group Holdings Ltd,1.05,3.11,2.25,2.5,2.35,2.28,0.07,3.07%,212434,-
25-Feb-26,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
25-Feb-26,SKL,Shri Krishana Overseas Plc,5.8,12,10.05,10.45,10.05,10.5,-0.45,-4.29%,27593,-
25-Feb-26,UNGA,Unga Group Ltd,18.05,34,25.3,26.75,26.2,24.95,1.25,5.01%,1960,-
25-Feb-26,SCOM,Safaricom Plc,17,34.2,32.25,33.3,33.1,32.9,0.2,0.61%,7920799,-
25-Feb-26,LAPR,LAPTrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
25-Feb-26,GLD,ABSA NewGold ETF,881,9800,6000,6220,6175,6175,-,-,84,-
25-Feb-26,SMWF,Satrix MSCI World Feeder ETF,755,1050,850,870,850,850,-,-,56,-
25-Feb-26,^N10I,NSE 10-Share Index,1250.85,2271.75,2224.24,2224.24,2224.24,2201.92,22.32,1.01%,-,-
25-Feb-26,^N20I,NSE 20-Share Index,2092.84,3758.73,3659.04,3659.04,3659.04,3597.23,61.81,1.72%,-,-
25-Feb-26,^N25I,NSE 25-Share Index,3314.15,5948.29,5828.85,5828.85,5828.85,5769.95,58.9,1.02%,-,-
25-Feb-26,^NASI,NSE All-Share Index,123.6,216.69,214.97,214.97,214.97,213.02,1.95,0.92%,-,-
25-Feb-26,^NBSI,NSE Banking Sector Index,149.92,245.9,238.03,238.03,238.03,235.06,2.97,1.26%,-,-
25-Feb-26,^NBDI,NSE Bonds Index,1140.96,1210.41,1207.17,1207.17,1207.17,1195.3,11.87,0.99%,-,-
25-Feb-26,^ZKEQTK,Zamara Kenya Equity Index (KES),2424.57,4790.09,4654.97,4654.97,4654.97,4610.37,44.6,0.97%,-,-
25-Feb-26,^ZKEQTU,Zamara Kenya Equity Index (USD),1610.77,3197.11,3108.13,3108.13,3108.13,3077.15,30.98,1.01%,-,-
26-Feb-26,EGAD,Eaagads Ltd,11,35.25,30,32,31.05,31.05,-,-,1118,-
26-Feb-26,KUKZ,Kakuzi Plc,365,440,428,433.75,436.5,436.5,-,-,54,-
26-Feb-26,KAPC,Kapchorua Tea Kenya Plc,198,424.25,248,250,249,248.25,0.75,0.30%,2580,-
26-Feb-26,LIMT,Limuru Tea Plc,295,555,505,550,550,550,-,-,15,-
26-Feb-26,SASN,Sasini Plc,13.3,33.9,27.75,29.9,28.4,28.35,0.05,0.18%,98495,-
26-Feb-26,WTK,Williamson Tea Kenya Plc,136,350,143,150,145,143.75,1.25,0.87%,136091,-
26-Feb-26,CGEN,Car and General (K) Ltd,19.8,74.25,70,73,71.25,71,0.25,0.35%,9105,-
26-Feb-26,ABSA,ABSA Bank Kenya Plc,15,33,29.65,32.45,30.95,29.5,1.45,4.92%,588603,-
26-Feb-26,BKG,BK Group Plc,28.75,50,43,47.8,45.5,47.05,-1.55,-3.29%,203023,-
26-Feb-26,COOP,Co-operative Bank of Kenya Ltd,13.8,31.5,28.9,29.7,29,29,-,-,4284843,-
26-Feb-26,DTK,Diamond Trust Bank Kenya Ltd,66,170,154,159,158.25,158.25,-,-,41562,-
26-Feb-26,EQTY,Equity Group Holdings Plc,41.2,80,75.75,78,76.5,76.5,-,-,4223133,-
26-Feb-26,HFCK,HF Group Ltd,5.3,11.5,10.5,11.3,10.6,11.05,-0.45,-4.07%,5883331,-
26-Feb-26,IMH,I & M Holdings Plc,29.5,52,49.4,51.25,50,49.1,0.9,1.83%,2142054,-
26-Feb-26,KCB,KCB Group Plc,35,80.5,75.5,78.5,77,75.5,1.5,1.99%,2714790,-
26-Feb-26,NCBA,NCBA Group Plc,48,100,90.5,93.5,92.25,90.25,2,2.22%,177902,-
26-Feb-26,SBIC,Stanbic Holdings Plc,147,270,254,257.5,255.25,255.25,-,-,24282,-
26-Feb-26,SCBK,Standard Chartered Bank Kenya Ltd,260,365,345.25,364,350.5,345.25,5.25,1.52%,63854,-
26-Feb-26,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
26-Feb-26,EVRD,Eveready East Africa Ltd,0.75,1.78,1.13,1.3,1.19,1.22,-0.03,-2.46%,5820915,-
26-Feb-26,XPRS,Express Kenya Plc,2.8,10,7.5,7.94,7.58,7.68,-0.1,-1.30%,17029,-
26-Feb-26,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
26-Feb-26,KQ,Kenya Airways Plc,1.56,6.02,5.6,5.8,5.62,5.72,-0.1,-1.75%,4895223,-
26-Feb-26,LKL,Longhorn Publishers Plc,2.35,3.5,3.1,3.4,3.18,3.33,-0.15,-4.50%,7878,-
26-Feb-26,NBV,Nairobi Business Ventures Ltd,1.33,2.16,1.5,1.55,1.54,1.49,0.05,3.36%,247838,-
26-Feb-26,NMG,Nation Media Group Plc,10.05,20,13.8,14.5,14.05,14.4,-0.35,-2.43%,14946,-
26-Feb-26,SMER,Sameer Africa Plc,2.7,21.5,18,20,19.4,19.85,-0.45,-2.27%,17767,-
26-Feb-26,SGL,Standard Group Plc,5.2,7.14,6,6.4,6.34,6.38,-0.04,-0.63%,7981,-
26-Feb-26,TPSE,TPS Eastern Africa (Serena) Ltd,13.05,18.2,16.15,17.3,17.2,17.2,-,-,2705,-
26-Feb-26,UCHM,Uchumi Supermarket Plc,0.23,2.93,2.65,2.67,2.67,2.43,0.24,9.88%,1922280,-
26-Feb-26,SCAN,WPP ScanGroup Plc,2,3.33,2.42,2.59,2.47,2.46,0.01,0.41%,47004,-
26-Feb-26,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
26-Feb-26,BAMB,Bamburi Cement Ltd,47.2,56.5,47.2,47.2,47.2,47.2,-,-,-,-
26-Feb-26,CRWN,Crown Paints Kenya Plc,30,70.75,61.75,65,62.5,64,-1.5,-2.34%,3515,-
26-Feb-26,CABL,East African Cables Plc,1,2.44,1,1,1,1,-,-,-,-
26-Feb-26,PORT,East African Portland Cement Ltd,28,101,80,86,84,84.75,-0.75,-0.88%,959,-
26-Feb-26,KEGN,Kenya Electricity Generating Company Plc,4.5,10.75,9.54,9.78,9.66,9.56,0.1,1.05%,2097998,-
26-Feb-26,KPLC-P4,KPLC-P4,4,5,5,5,5,5,-,-,-,-
26-Feb-26,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
26-Feb-26,KPLC,Kenya Power and Lighting Company Plc,5.7,19,18,18.5,18.4,17.7,0.7,3.95%,786136,-
26-Feb-26,TOTL,TotalEnergies Marketing Kenya Plc,21,47,42,44,42.45,42.05,0.4,0.95%,55697,-
26-Feb-26,UMME,Umeme Ltd,5.8,24.75,8.8,9.24,8.96,9.06,-0.1,-1.10%,41527,-
26-Feb-26,BRIT,Britam Holdings Plc,5.92,13.4,11.8,12.8,12.6,11.7,0.9,7.69%,145829,-
26-Feb-26,CIC,CIC Insurance Group Ltd,2.55,6.62,5.14,5.3,5.2,5.26,-0.06,-1.14%,399293,-
26-Feb-26,JUB,Jubilee Holdings Ltd,182,437.75,368.75,374,373.25,366.75,6.5,1.77%,305,-
26-Feb-26,KNRE,Kenya Re-Insurance Corporation Ltd,1.5,4.02,3.88,3.99,3.95,3.91,0.04,1.02%,3359842,-
26-Feb-26,LBTY,Liberty Kenya Holdings Ltd,9.1,12.2,10.1,10.45,10.25,10,0.25,2.50%,32480,-
26-Feb-26,SLAM,Sanlam Allianz Holdings (Kenya) Plc,5.5,11,10,10.5,10.3,10.15,0.15,1.48%,30648,-
26-Feb-26,CTUM,Centum Investment Company Plc,10.85,16.75,14.8,15,14.85,14.85,-,-,23393,-
26-Feb-26,HAFR,Home Afrika Ltd,0.48,1.93,1.46,1.54,1.5,1.5,-,-,262621,-
26-Feb-26,KURV,Kurwitu Ventures Ltd,1400,1500,1500,1500,1500,1500,-,-,2,-
26-Feb-26,OCH,Olympia Capital Holdings Ltd,3.12,9,7.8,8.4,8.18,8.04,0.14,1.74%,5405,-
26-Feb-26,TCL,Trans-Century Plc,0.71,1.42,0.71,0.71,0.71,0.71,-,-,-,-
26-Feb-26,NSE,Nairobi Securities Exchange Plc,6.5,25.9,21.45,22.9,21.65,21.9,-0.25,-1.14%,770422,-
26-Feb-26,AMAC,Africa Mega Agricorp Plc,51,118.25,93,99.5,96.25,94.25,2,2.12%,483,-
26-Feb-26,BOC,BOC Kenya Plc,76,150,130,134,132.5,134,-1.5,-1.12%,613,-
26-Feb-26,BAT,British American Tobacco Kenya Plc,345,629,520,540,538,526,12,2.28%,2017,-
26-Feb-26,CARB,Carbacid Investments Plc,18,33,31,31.9,31.3,31.8,-0.5,-1.57%,56078,-
26-Feb-26,EABL,East African Breweries Ltd,167,351,254.25,257,255.25,250.5,4.75,1.90%,13334,-
26-Feb-26,FTGH,Flame Tree Group Holdings Ltd,1.05,3.11,2.58,2.58,2.58,2.35,0.23,9.79%,63652,-
26-Feb-26,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
26-Feb-26,SKL,Shri Krishana Overseas Plc,5.8,12,10,10.5,10.45,10.05,0.4,3.98%,11328,-
26-Feb-26,UNGA,Unga Group Ltd,18.05,34,26.7,30.7,28.2,26.2,2,7.63%,42667,-
26-Feb-26,SCOM,Safaricom Plc,17,34.2,31.95,33.15,32.7,33.1,-0.4,-1.21%,12763939,-
26-Feb-26,LAPR,LAPTrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
26-Feb-26,GLD,ABSA NewGold ETF,881,9800,6300,6350,6175,6175,-,-,6,-
26-Feb-26,SMWF,Satrix MSCI World Feeder ETF,755,1050,850,869,850,850,-,-,27,-
26-Feb-26,^N10I,NSE 10-Share Index,1250.85,2271.75,2242.25,2242.25,2242.25,2224.24,18.01,0.81%,-,-
26-Feb-26,^N20I,NSE 20-Share Index,2092.84,3758.73,3695.62,3695.62,3695.62,3659.04,36.58,1.00%,-,-
26-Feb-26,^N25I,NSE 25-Share Index,3314.15,5948.29,5884.37,5884.37,5884.37,5828.85,55.52,0.95%,-,-
26-Feb-26,^NASI,NSE All-Share Index,123.6,216.69,215.62,215.62,215.62,214.97,0.65,0.30%,-,-
26-Feb-26,^NBSI,NSE Banking Sector Index,149.92,245.9,241.07,241.07,241.07,238.03,3.04,1.28%,-,-
26-Feb-26,^NBDI,NSE Bonds Index,1140.96,1210.41,1200.85,1200.85,1200.85,1207.17,-6.32,-0.52%,-,-
26-Feb-26,^ZKEQTK,Zamara Kenya Equity Index (KES),2424.57,4790.09,4719.69,4719.69,4719.69,4654.97,64.72,1.39%,-,-
26-Feb-26,^ZKEQTU,Zamara Kenya Equity Index (USD),1610.77,3197.11,3150.12,3150.12,3150.12,3108.13,41.99,1.35%,-,-
27-Feb-26,EGAD,Eaagads Ltd,11,35.25,30,32,30.1,31.05,-0.95,-3.06%,3052,-
27-Feb-26,KUKZ,Kakuzi Plc,365,440,405,436,433,436.5,-3.5,-0.80%,443,-
27-Feb-26,KAPC,Kapchorua Tea Kenya Plc,198,424.25,251,259,255.5,249,6.5,2.61%,3167,-
27-Feb-26,LIMT,Limuru Tea Plc,295,555,505,550,550,550,-,-,24,-
27-Feb-26,SASN,Sasini Plc,13.3,33.9,28,29.5,28.15,28.4,-0.25,-0.88%,32885,-
27-Feb-26,WTK,Williamson Tea Kenya Plc,136,350,141,150,143,145,-2,-1.38%,74064,-
